alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb,type,url,video
,Einhell Expert,,"https://assets.einhell.com/manuals-pdf/900_461401/te-vc-1820.pdf,https://assets.einhell.com/manuals-pdf/900_461402/te-vc-1820.pdf,https://assets.einhell.com/manuals-pdf/900_461403/te-vc-1820.pdf,https://assets.einhell.com/manuals-pdf/900_461404/te-vc-1820.pdf,https://assets.einhell.com/manuals-pdf/900_198794/te-vc-1820.pdf,https://assets.einhell.com/manuals-pdf/900_461405/te-vc-1820.pdf",,TE-VC 1820,,Wet/Dry Vacuum Cleaner (elect),en,Wet/Dry Vacuum Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_184754/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/wet-dry-vacuum-cleaners/te-vc-1820-2.html,
,Einhell Expert,,"https://assets.einhell.com/manuals-pdf/900_461791/te-vc-2230-sa.pdf,https://assets.einhell.com/manuals-pdf/900_461792/te-vc-2230-sa.pdf,https://assets.einhell.com/manuals-pdf/900_461793/te-vc-2230-sa.pdf,https://assets.einhell.com/manuals-pdf/900_461794/te-vc-2230-sa.pdf,https://assets.einhell.com/manuals-pdf/900_461795/te-vc-2230-sa.pdf",,TE-VC 2230 SA,,Wet/Dry Vacuum Cleaner (elect),en,Wet/Dry Vacuum Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_184049/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/wet-dry-vacuum-cleaners/te-vc-2230-sa.html,
,Einhell Expert,,https://assets.einhell.com/manuals-pdf/900_198812/te-vc-1925-sa.pdf,,TE-VC 1925 SA,,Wet/Dry Vacuum Cleaner (elect),en,Wet/Dry Vacuum Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_184777/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/wet-dry-vacuum-cleaners/te-vc-1925-sa.html,
,Einhell Expert Plus,,"https://assets.einhell.com/manuals-pdf/900_461881/te-vc-36-30-li-s-solo%3B-ex%3B-us.pdf,https://assets.einhell.com/manuals-pdf/900_461882/te-vc-36-30-li-s-solo%3B-ex%3B-us.pdf,https://assets.einhell.com/manuals-pdf/900_461883/te-vc-36-30-li-s-solo%3B-ex%3B-us.pdf",,TE-VC 36/30 Li S-Solo; EX; US,,Cordl. Wet/Dry Vacuum Cleaner,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_464446/,Instructions,https://www.isc-gmbh.info/isc_de_en/-829.html,
,Einhell,,https://assets.einhell.com/manuals-pdf/900_367169/ht-2020-f.pdf,,HT 2020 F,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_347067/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/ht-2020-f.html,
,Einhell,,https://assets.einhell.com/manuals-pdf/900_367153/hr-1700-a.pdf,,HR 1700-A,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_347067/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/hr-1700-a.html,
,Einhell,,"https://assets.einhell.com/manuals-pdf/900_302281/hr-200.pdf,https://assets.einhell.com/manuals-pdf/900_302283/hr-200.pdf,https://assets.einhell.com/manuals-pdf/900_302284/hr-200.pdf,https://assets.einhell.com/manuals-pdf/900_302285/hr-200.pdf,https://assets.einhell.com/manuals-pdf/900_302282/hr-200.pdf,https://assets.einhell.com/manuals-pdf/900_367149/hr-200.pdf",,HR 200,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_345365/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/hr-200-2.html,
,Einhell Blue,,https://assets.einhell.com/manuals-pdf/900_199033/bt-hp-2100.pdf,,BT-HP 2100,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_185010/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/bt-hp-2100-2.html,
,Einhell Blue,,https://assets.einhell.com/manuals-pdf/900_198639/bt-hp-160-kit.pdf,,BT-HP 160 Kit,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_184591/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/bt-hp-160-kit.html,
,Einhell Blue,,https://assets.einhell.com/manuals-pdf/900_198968/bt-hp-1900.pdf,,BT-HP 1900,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_184937/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/bt-hp-1900-2.html,
,Einhell Blue,,"https://assets.einhell.com/manuals-pdf/900_177205/bt-hp-1435.pdf,https://assets.einhell.com/manuals-pdf/900_361688/bt-hp-1435.pdf,https://assets.einhell.com/manuals-pdf/900_177204/bt-hp-1435.pdf,https://assets.einhell.com/manuals-pdf/900_361974/bt-hp-1435.pdf,https://assets.einhell.com/manuals-pdf/900_177206/bt-hp-1435.pdf,https://assets.einhell.com/manuals-pdf/900_362253/bt-hp-1435.pdf,https://assets.einhell.com/manuals-pdf/900_177202/bt-hp-1435.pdf,https://assets.einhell.com/manuals-pdf/900_362526/bt-hp-1435.pdf,https://assets.einhell.com/manuals-pdf/900_177203/bt-hp-1435.pdf,https://assets.einhell.com/manuals-pdf/900_362807/bt-hp-1435.pdf",,BT-HP 1435,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_2140/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/bt-hp-1435-2.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_499504/tc-hp-90%3Bex%3Bbr%3B220v%3B-50-60hz.pdf,,TC-HP 90;EX;BR;220V; 50/60Hz,,High Pressure Cleaner,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_497316/,Instructions,https://www.isc-gmbh.info/isc_de_en/-4172.html,
,Einhell Classic,,"https://assets.einhell.com/manuals-pdf/900_490178/tc-hp-90.pdf,https://assets.einhell.com/manuals-pdf/900_490179/tc-hp-90.pdf,https://assets.einhell.com/manuals-pdf/900_490180/tc-hp-90.pdf,https://assets.einhell.com/manuals-pdf/900_490181/tc-hp-90.pdf,https://assets.einhell.com/manuals-pdf/900_490182/tc-hp-90.pdf",,TC-HP 90,,High Pressure Cleaner,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_490224/,Instructions,https://www.isc-gmbh.info/isc_de_en/tc-hp-90-1.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_434321/tc-hp-1435%3B-ex%3B-arg.pdf,,TC-HP 1435; EX; ARG,,High Pressure Cleaner,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_434052/,Instructions,https://www.isc-gmbh.info/isc_de_en/tc-hp-1435-ex-arg.html,
,Einhell Classic,,"https://assets.einhell.com/manuals-pdf/900_487173/tc-hp-130.pdf,https://assets.einhell.com/manuals-pdf/900_487174/tc-hp-130.pdf,https://assets.einhell.com/manuals-pdf/900_487175/tc-hp-130.pdf,https://assets.einhell.com/manuals-pdf/900_487171/tc-hp-130.pdf,https://assets.einhell.com/manuals-pdf/900_487172/tc-hp-130.pdf",,TC-HP 130,,High Pressure Cleaner,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_487336/,Instructions,https://www.isc-gmbh.info/isc_de_en/tc-hp-130-1.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_401928/tc-hp-2042-pc%3B-ex%3B-arg.pdf,,TC-HP 2042 PC; EX; ARG,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_401203/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/tc-hp-2042-pc-ex-arg.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_401804/tc-hp-1334%3B-ex%3B-arg.pdf,,TC-HP 1334; Ex; ARG,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_401227/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/tc-hp-1334-ex-arg.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_401802/tc-hp-1538-pc%3B-ex%3B-arg.pdf,,TC-HP 1538 PC Kit; EX; ARG,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_459293/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/tc-hp-1538-pc-kit-ex-arg.html,
,Einhell Classic,,"https://assets.einhell.com/manuals-pdf/900_363720/tc-hp-1538-pc.pdf,https://assets.einhell.com/manuals-pdf/900_363721/tc-hp-1538-pc.pdf",,TC-HP 1538 PC,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_349834/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/tc-hp-1538-pc-6.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_351141/tc-hp-1538-pc-.pdf,,TC-HP 1538 PC+,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_351157/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/tc-hp-1538-pc-5.html,
,Einhell Red,,"https://assets.einhell.com/manuals-pdf/900_177217/rt-hp-1750-tr.pdf,https://assets.einhell.com/manuals-pdf/900_177221/rt-hp-1750-tr.pdf,https://assets.einhell.com/manuals-pdf/900_177220/rt-hp-1750-tr.pdf,https://assets.einhell.com/manuals-pdf/900_177215/rt-hp-1750-tr.pdf,https://assets.einhell.com/manuals-pdf/900_177219/rt-hp-1750-tr.pdf,https://assets.einhell.com/manuals-pdf/900_177218/rt-hp-1750-tr.pdf,https://assets.einhell.com/manuals-pdf/900_363713/rt-hp-1750-tr.pdf",,RT-HP 1750 TR,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_2145/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/rt-hp-1750-tr.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_434673/tc-sd-3%2C6-li%3B-h%3B-ex%3B-arg.pdf,,"TC-SD 3,6 Li; H; EX; ARG",,Cordless Screwdriver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_434607/,Instructions,https://www.isc-gmbh.info/isc_de_en/tc-sd-3-6-li-h-ex-arg.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_454848/tc-sd-3%2C6-li%3B-ex%3B-br%3B-bv.pdf,,"TC-SD 3,6 Li; EX; BR; BV",,Cordless Screwdriver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_454037/,Instructions,https://www.isc-gmbh.info/isc_de_en/tc-sd-3-6-li-ex-br-bv.html,
,Einhell Expert,,"https://assets.einhell.com/manuals-pdf/900_488220/te-hp-140.pdf,https://assets.einhell.com/manuals-pdf/900_488221/te-hp-140.pdf,https://assets.einhell.com/manuals-pdf/900_488222/te-hp-140.pdf,https://assets.einhell.com/manuals-pdf/900_488223/te-hp-140.pdf,https://assets.einhell.com/manuals-pdf/900_488224/te-hp-140.pdf",,TE-HP 140,,High Pressure Cleaner,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_487337/,Instructions,https://www.isc-gmbh.info/isc_de_en/te-hp-140-1.html,
,Einhell Classic,,https://assets.einhell.com/manuals-pdf/900_423665/tc-sd-3%2C6-li%3B-ex%3Barg.pdf,,"TC-SD 3,6 Li; EX;ARG",,Cordless Screwdriver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_423478/,Instructions,https://www.isc-gmbh.info/isc_de_en/tc-sd-3-6-li-ex-arg.html,
,Einhell Classic,,"https://assets.einhell.com/manuals-pdf/900_421061/tc-sd-3%2C6-li%3B-kaufland.pdf,https://assets.einhell.com/manuals-pdf/900_421062/tc-sd-3%2C6-li%3B-kaufland.pdf",,"TC-SD 3,6 Li; Kaufland",,Cordless Screwdriver,en,Home,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_347067/,Instructions,https://www.isc-gmbh.info/isc_de_en/tc-sd-3-6-li-kaufland.html,
